STATION_NAME,YEAR,ANN_MAX_PRCP_MM,MONSOON_MAX_PRCP_MM,ANN_TOTAL_PRCP_MM,WET_DAYS,LATITUDE,LONGITUDE,ELEVATION
Bhairahawa,1990,99.4,99.4,2057.3,98,27.506,83.416,93
Bhairahawa,1991,91.5,91.5,2091.5,109,27.506,83.416,93
Bhairahawa,1992,151.9,151.9,1478.0,87,27.506,83.416,93
Bhairahawa,1993,97.9,97.9,1660.4,86,27.506,83.416,93
Bhairahawa,1994,82.5,82.5,1862.5,108,27.506,83.416,93
Bhairahawa,1995,142.5,142.5,1886.9,101,27.506,83.416,93
Bhairahawa,1996,128.6,128.6,1703.8,86,27.506,83.416,93
Bhairahawa,1997,74.1,74.1,1974.2,110,27.506,83.416,93
Bhairahawa,1998,155.1,155.1,1973.2,94,27.506,83.416,93
Bhairahawa,1999,135.9,135.9,1709.8,98,27.506,83.416,93
Bhairahawa,2000,97.2,97.2,1710.0,116,27.506,83.416,93
Bhairahawa,2001,90.3,90.3,1773.3,116,27.506,83.416,93
Bhairahawa,2002,121.5,121.5,1862.1,79,27.506,83.416,93
Bhairahawa,2003,65.9,65.9,1270.6,89,27.506,83.416,93
Bhairahawa,2004,87.8,87.8,1427.2,94,27.506,83.416,93
Bhairahawa,2005,77.6,77.6,1909.5,101,27.506,83.416,93
Bhairahawa,2006,90.2,90.2,1845.0,112,27.506,83.416,93
Bhairahawa,2007,159.2,159.2,1913.9,90,27.506,83.416,93
Bhairahawa,2008,96.2,96.2,1502.2,91,27.506,83.416,93
Bhairahawa,2009,81.5,81.5,1536.0,104,27.506,83.416,93
Bhairahawa,2010,168.9,168.9,2143.1,96,27.506,83.416,93
Bhairahawa,2011,146.3,146.3,2232.7,106,27.506,83.416,93
Bhairahawa,2012,165.1,165.1,2437.7,111,27.506,83.416,93
Bhairahawa,2013,128.8,128.8,2585.5,102,27.506,83.416,93
Bhairahawa,2014,90.4,90.4,2027.8,111,27.506,83.416,93
Bhairahawa,2015,59.0,59.0,1534.0,107,27.506,83.416,93
Bhairahawa,2016,165.5,165.5,1963.6,103,27.506,83.416,93
Bhairahawa,2017,117.4,117.4,2074.0,95,27.506,83.416,93
Bhairahawa,2018,107.5,107.5,1635.2,101,27.506,83.416,93
Bhairahawa,2019,68.6,68.6,1647.0,93,27.506,83.416,93
Bhairahawa,2020,96.4,96.4,2124.6,104,27.506,83.416,93
Bhairahawa,2021,117.5,117.5,1464.5,90,27.506,83.416,93
Bhairahawa,2022,129.7,129.7,1870.3999999999999,110,27.506,83.416,93
Bhairahawa,2023,196.3,196.3,1833.9,93,27.506,83.416,93
Biratnagar,1990,98.1,98.1,1613.1,94,26.482,87.264,72
Biratnagar,1991,162.7,162.7,2031.4,103,26.482,87.264,72
Biratnagar,1992,132.8,132.8,1528.6000000000001,91,26.482,87.264,72
Biratnagar,1993,93.8,93.8,2023.6,94,26.482,87.264,72
Biratnagar,1994,84.6,84.6,1565.3999999999999,103,26.482,87.264,72
Biratnagar,1995,69.7,69.7,1775.8,99,26.482,87.264,72
Biratnagar,1996,93.1,93.1,1363.1,100,26.482,87.264,72
Biratnagar,1997,103.9,103.9,1577.6,94,26.482,87.264,72
Biratnagar,1998,350.0,350.0,2638.7,94,26.482,87.264,72
Biratnagar,1999,104.3,104.3,1981.4,94,26.482,87.264,72
Biratnagar,2000,94.2,94.2,1488.3,100,26.482,87.264,72
Biratnagar,2001,166.0,166.0,2172.8,94,26.482,87.264,72
Biratnagar,2002,76.3,76.3,1927.4,119,26.482,87.264,72
Biratnagar,2003,154.4,154.4,2525.5,104,26.482,87.264,72
Biratnagar,2004,85.0,85.0,2000.0,108,26.482,87.264,72
Biratnagar,2005,138.3,138.3,1855.4,103,26.482,87.264,72
Biratnagar,2006,101.0,101.0,1771.6,99,26.482,87.264,72
Biratnagar,2007,93.8,93.8,1616.6,105,26.482,87.264,72
Biratnagar,2008,100.2,100.2,1434.5,96,26.482,87.264,72
Biratnagar,2009,80.5,80.5,2049.5,102,26.482,87.264,72
Biratnagar,2010,72.5,72.5,1782.2,97,26.482,87.264,72
Biratnagar,2011,64.8,64.8,1371.0,96,26.482,87.264,72
Biratnagar,2012,67.9,67.9,1346.0,104,26.482,87.264,72
Biratnagar,2013,78.3,78.3,1882.5,101,26.482,87.264,72
Biratnagar,2014,317.9,317.9,1822.0,105,26.482,87.264,72
Biratnagar,2015,105.0,105.0,2068.8,94,26.482,87.264,72
Biratnagar,2016,192.9,192.9,2106.9,118,26.482,87.264,72
Biratnagar,2017,135.3,135.3,2042.5,97,26.482,87.264,72
Biratnagar,2018,77.8,77.8,1771.7,107,26.482,87.264,72
Biratnagar,2019,102.7,102.7,1587.8999999999999,94,26.482,87.264,72
