STATION_NAME,YEAR,ANN_MAX_PRCP_MM,MONSOON_MAX_PRCP_MM,ANN_TOTAL_PRCP_MM,WET_DAYS,LATITUDE,LONGITUDE,ELEVATION
Bhairahawa,1990,182.8,182.8,1978.0,99,27.506,83.416,93
Bhairahawa,1991,113.9,113.9,1816.8,109,27.506,83.416,93
Bhairahawa,1992,126.4,126.4,2158.5,94,27.506,83.416,93
Bhairahawa,1993,124.8,124.8,2390.2,85,27.506,83.416,93
Bhairahawa,1994,128.0,128.0,1930.1,103,27.506,83.416,93
Bhairahawa,1995,55.2,55.2,1251.8,89,27.506,83.416,93
Bhairahawa,1996,153.2,153.2,2047.4,94,27.506,83.416,93
Bhairahawa,1997,159.1,159.1,1430.7,93,27.506,83.416,93
Bhairahawa,1998,98.7,98.7,1311.7,87,27.506,83.416,93
Bhairahawa,1999,133.8,133.8,1769.5,102,27.506,83.416,93
Bhairahawa,2000,114.4,114.4,2356.7,101,27.506,83.416,93
Bhairahawa,2001,139.1,139.1,1756.7,94,27.506,83.416,93
Bhairahawa,2002,93.5,93.5,2200.0,109,27.506,83.416,93
Bhairahawa,2003,93.3,93.3,1912.7,96,27.506,83.416,93
Bhairahawa,2004,73.0,73.0,1763.3,111,27.506,83.416,93
Bhairahawa,2005,109.5,109.5,1752.9,110,27.506,83.416,93
Bhairahawa,2006,110.3,110.3,2550.7,106,27.506,83.416,93
Bhairahawa,2007,104.0,104.0,1448.4,98,27.506,83.416,93
Bhairahawa,2008,142.1,142.1,2137.3,111,27.506,83.416,93
Bhairahawa,2009,85.9,85.9,1716.1,104,27.506,83.416,93
Bhairahawa,2010,158.7,158.7,2124.9,91,27.506,83.416,93
Bhairahawa,2011,103.0,103.0,2160.1,100,27.506,83.416,93
Bhairahawa,2012,110.3,110.3,1722.3,95,27.506,83.416,93
Bhairahawa,2013,80.2,80.2,1508.4,93,27.506,83.416,93
Bhairahawa,2014,133.9,133.9,2172.5,92,27.506,83.416,93
Bhairahawa,2015,281.2,281.2,1707.8999999999999,96,27.506,83.416,93
Bhairahawa,2016,94.9,94.9,1975.5,105,27.506,83.416,93
Bhairahawa,2017,113.8,113.8,1683.2,106,27.506,83.416,93
Bhairahawa,2018,118.2,118.2,1650.7,108,27.506,83.416,93
Bhairahawa,2019,89.3,89.3,1463.7,89,27.506,83.416,93
Bhairahawa,2020,158.3,158.3,1811.2,98,27.506,83.416,93
Bhairahawa,2021,114.8,114.8,1598.3,87,27.506,83.416,93
Bhairahawa,2022,100.5,100.5,2088.6,117,27.506,83.416,93
Bhairahawa,2023,112.1,112.1,1826.2,93,27.506,83.416,93
Biratnagar,1990,350.0,350.0,1947.3,99,26.482,87.264,72
Biratnagar,1991,158.3,158.3,2142.6,107,26.482,87.264,72
Biratnagar,1992,99.5,99.5,1735.1,107,26.482,87.264,72
Biratnagar,1993,75.2,75.2,1507.0,90,26.482,87.264,72
Biratnagar,1994,94.5,94.5,1428.8,100,26.482,87.264,72
Biratnagar,1995,99.5,99.5,1472.7,103,26.482,87.264,72
Biratnagar,1996,130.8,130.8,2182.6,109,26.482,87.264,72
Biratnagar,1997,140.6,140.6,2058.0,107,26.482,87.264,72
Biratnagar,1998,133.9,133.9,1816.0,104,26.482,87.264,72
Biratnagar,1999,75.1,75.1,1347.5,97,26.482,87.264,72
Biratnagar,2000,269.9,269.9,1870.3999999999999,94,26.482,87.264,72
Biratnagar,2001,67.8,67.8,1507.6,83,26.482,87.264,72
Biratnagar,2002,84.2,84.2,1554.5,97,26.482,87.264,72
Biratnagar,2003,93.0,93.0,2215.3,111,26.482,87.264,72
Biratnagar,2004,86.4,86.4,1518.3,100,26.482,87.264,72
Biratnagar,2005,104.8,104.8,2118.2,113,26.482,87.264,72
Biratnagar,2006,245.3,245.3,2091.9,90,26.482,87.264,72
Biratnagar,2007,118.6,118.6,2000.7,101,26.482,87.264,72
Biratnagar,2008,157.7,157.7,2395.2,103,26.482,87.264,72
Biratnagar,2009,110.6,110.6,1825.8,97,26.482,87.264,72
Biratnagar,2010,152.3,152.3,2260.7,106,26.482,87.264,72
Biratnagar,2011,96.2,96.2,2155.4,107,26.482,87.264,72
Biratnagar,2012,127.5,127.5,1554.0,93,26.482,87.264,72
Biratnagar,2013,129.2,129.2,1617.1,85,26.482,87.264,72
Biratnagar,2014,132.0,132.0,1665.8,107,26.482,87.264,72
Biratnagar,2015,143.9,143.9,2069.0,93,26.482,87.264,72
Biratnagar,2016,107.8,104.8,1552.5,94,26.482,87.264,72
Biratnagar,2017,152.3,152.3,1787.8,109,26.482,87.264,72
Biratnagar,2018,90.5,90.5,1722.2,95,26.482,87.264,72
Biratnagar,2019,127.0,127.0,2426.5,109,26.482,87.264,72
Biratnagar,2020,114.5,114.5,2417.1,104,26.482,87.264,72
Biratnagar,2021,84.8,84.8,1707.5,106,26.482,87.264,72
Biratnagar,2022,87.8,87.8,1770.7,105,26.482,87.264,72
Biratnagar,2023,150.6,150.6,1634.9,93,26.482,87.264,72
Dadeldhura,1990,161.8,161.8,1789.7,92,29.3,80.583,1647
Dadeldhura,1991,99.0,99.0,1400.6,109,29.3,80.583,1647
Dadeldhura,1992,154.0,154.0,2358.2,107,29.3,80.583,1647
Dadeldhura,1993,82.5,82.5,1887.5,107,29.3,80.583,1647
Dadeldhura,1994,214.1,214.1,2078.8,100,29.3,80.583,1647
Dadeldhura,1995,101.9,101.9,1579.0,102,29.3,80.583,1647
Dadeldhura,1996,149.5,149.5,1433.8,109,29.3,80.583,1647
Dadeldhura,1997,111.5,111.5,2043.3999999999999,102,29.3,80.583,1647
Dadeldhura,1998,93.0,93.0,2241.9,116,29.3,80.583,1647
Dadeldhura,1999,90.1,90.1,1471.7,86,29.3,80.583,1647
Dadeldhura,2000,154.5,154.5,1618.9,85,29.3,80.583,1647
Dadeldhura,2001,112.6,112.6,1426.4,96,29.3,80.583,1647
Dadeldhura,2002,84.3,84.3,1597.1000000000001,96,29.3,80.583,1647
Dadeldhura,2003,144.9,144.9,1791.6,97,29.3,80.583,1647
Dadeldhura,2004,108.8,108.8,1067.2,85,29.3,80.583,1647
Dadeldhura,2005,90.1,90.1,1613.9,102,29.3,80.583,1647
Dadeldhura,2006,155.1,155.1,1915.3,105,29.3,80.583,1647
Dadeldhura,2007,83.6,83.6,1943.4,107,29.3,80.583,1647
Dadeldhura,2008,124.1,124.1,1325.4,95,29.3,80.583,1647
Dadeldhura,2009,98.4,98.4,1408.6,90,29.3,80.583,1647
Dadeldhura,2010,103.3,103.3,1333.2,86,29.3,80.583,1647
Dadeldhura,2011,65.4,65.4,1583.7,107,29.3,80.583,1647
Dadeldhura,2012,155.5,155.5,1868.8,106,29.3,80.583,1647
Dadeldhura,2013,73.4,73.4,1403.2,81,29.3,80.583,1647
Dadeldhura,2014,203.9,203.9,2058.1,104,29.3,80.583,1647
Dadeldhura,2015,80.0,80.0,1388.0,95,29.3,80.583,1647
Dadeldhura,2016,74.4,74.4,1386.6,104,29.3,80.583,1647
Dadeldhura,2017,157.8,157.8,2150.0,112,29.3,80.583,1647
Dadeldhura,2018,136.7,136.7,1763.0,99,29.3,80.583,1647
Dadeldhura,2019,92.9,92.9,1884.7,103,29.3,80.583,1647
Dadeldhura,2020,62.2,62.2,1374.0,92,29.3,80.583,1647
Dadeldhura,2021,168.6,168.6,1627.0,93,29.3,80.583,1647
Dadeldhura,2022,220.8,220.8,2309.3,103,29.3,80.583,1647
Dadeldhura,2023,79.1,79.1,1523.2,106,29.3,80.583,1647
Dhankuta,1990,96.3,96.3,1375.7,98,26.983,87.35,1180
Dhankuta,1991,95.2,95.2,1826.8,99,26.983,87.35,1180
Dhankuta,1992,90.7,90.7,1674.9,103,26.983,87.35,1180
Dhankuta,1993,64.3,64.3,1289.7,95,26.983,87.35,1180
Dhankuta,1994,62.5,62.5,1381.7,96,26.983,87.35,1180
Dhankuta,1995,67.8,67.8,1543.2,107,26.983,87.35,1180
Dhankuta,1996,92.3,92.3,2033.4,115,26.983,87.35,1180
Dhankuta,1997,78.2,78.2,1385.4,109,26.983,87.35,1180
Dhankuta,1998,105.2,105.2,1951.5,101,26.983,87.35,1180
Dhankuta,1999,137.2,137.2,2095.9,112,26.983,87.35,1180
Dhankuta,2000,73.1,73.1,1632.2,104,26.983,87.35,1180
Dhankuta,2001,72.5,72.5,1421.1,99,26.983,87.35,1180
Dhankuta,2002,100.5,100.5,1639.4,89,26.983,87.35,1180
Dhankuta,2003,109.2,109.2,1384.3,91,26.983,87.35,1180
