station,n_years,obs_mean,obs_std,obs_max,gev_xi,gev_mu,gev_sigma,gev_type,RL_2yr,RL_2yr_lo95,RL_2yr_hi95,RL_5yr,RL_5yr_lo95,RL_5yr_hi95,RL_10yr,RL_10yr_lo95,RL_10yr_hi95,RL_25yr,RL_25yr_lo95,RL_25yr_hi95,RL_50yr,RL_50yr_lo95,RL_50yr_hi95,RL_100yr,RL_100yr_lo95,RL_100yr_hi95,RL_200yr,RL_200yr_lo95,RL_200yr_hi95
Bhairahawa,34,120.89,38.69,281.2,-0.0168,104.5192,28.0714,Gumbel (xi≈0),114.8,105.8,126.4,146.1,125.9,174.0,166.5,134.5,221.0,191.9,143.2,310.2,210.5,148.5,398.9,228.8,152.5,533.8,246.8,154.9,706.2
Biratnagar,34,129.18,57.23,350.0,-0.2859,102.2681,28.3806,"Weibull (xi<0, bounded)",112.1,100.0,126.7,136.9,115.7,162.6,149.4,121.6,188.2,161.8,127.1,224.1,169.0,129.9,250.7,174.9,131.6,282.0,179.7,132.7,315.1
Dadeldhura,34,120.23,42.39,220.8,-0.152,98.203,29.951,"Weibull (xi<0, bounded)",108.9,93.5,131.9,138.4,109.3,188.7,155.3,115.9,235.3,174.1,121.2,312.6,186.4,123.5,369.7,197.3,125.6,450.7,207.1,126.2,507.5
Dhankuta,34,105.39,45.15,289.7,-0.1389,86.2822,25.5642,"Weibull (xi<0, bounded)",95.4,85.5,105.5,120.9,104.4,144.4,135.7,112.6,186.4,152.3,119.5,268.4,163.3,123.8,352.5,173.2,127.4,468.9,182.1,129.6,618.7
Jumla,34,55.51,21.22,134.5,-0.0969,45.7189,14.3585,"Weibull (xi<0, bounded)",50.9,44.7,58.2,65.8,55.3,78.4,74.8,60.7,93.7,85.2,65.9,117.0,92.4,68.6,135.6,99.0,70.5,159.6,105.2,72.1,184.3
Kathmandu,34,94.73,31.58,188.0,-0.0709,79.9832,22.5965,"Weibull (xi<0, bounded)",88.2,78.3,98.5,112.1,96.2,129.1,127.0,105.8,151.0,144.6,114.8,182.5,157.0,120.8,212.4,168.7,125.6,242.4,179.7,128.3,277.7
Okhaldhunga,34,101.66,41.08,229.7,-0.1174,83.0378,26.0854,"Weibull (xi<0, bounded)",92.4,81.1,101.8,118.9,90.7,136.3,134.6,93.5,161.0,152.6,95.9,194.1,164.7,96.8,220.9,175.8,97.4,251.0,185.9,97.8,287.1
Pokhara,34,253.8,63.44,350.0,0.3801,234.45,64.5397,"Frechet (xi>0, heavy tail)",259.8,219.0,323.6,364.9,260.5,757.3,464.1,281.9,1586.3,637.3,288.8,1126.5,812.9,297.8,1532.9,1040.3,306.8,1754.8,1335.6,310.3,1848.9
Simara,34,143.06,62.35,322.3,-0.1635,113.0294,39.1914,"Weibull (xi<0, bounded)",127.0,112.5,143.4,165.2,138.1,191.4,186.8,148.3,224.3,210.6,154.9,266.6,226.1,158.9,296.9,239.7,162.3,326.5,251.9,164.8,363.8
Surkhet,34,95.41,50.57,334.7,-0.2646,74.6766,21.3864,"Weibull (xi<0, bounded)",82.1,73.4,91.8,101.2,82.9,118.8,110.9,86.3,138.4,120.8,89.1,168.8,126.7,90.4,198.9,131.6,91.3,231.2,135.6,91.8,272.9
Taplejung,34,122.76,47.82,316.1,-0.3662,97.4744,25.0251,"Weibull (xi<0, bounded)",106.1,93.2,132.6,126.4,102.8,207.9,135.8,105.5,290.6,144.6,107.3,454.3,149.4,107.6,622.4,153.1,107.8,781.8,156.0,107.8,870.5
