station,n_years,obs_mean,obs_std,obs_max,gev_xi,gev_mu,gev_sigma,gev_type,RL_2yr,RL_2yr_lo95,RL_2yr_hi95,RL_5yr,RL_5yr_lo95,RL_5yr_hi95,RL_10yr,RL_10yr_lo95,RL_10yr_hi95,RL_25yr,RL_25yr_lo95,RL_25yr_hi95,RL_50yr,RL_50yr_lo95,RL_50yr_hi95,RL_100yr,RL_100yr_lo95,RL_100yr_hi95,RL_200yr,RL_200yr_lo95,RL_200yr_hi95
Bhairahawa,34,114.24,34.29,196.3,0.0692,98.9982,29.0252,"Frechet (xi>0, heavy tail)",109.8,95.3,133.3,144.9,115.2,216.0,169.7,126.2,320.7,202.9,136.3,557.5,229.0,142.2,665.0,256.2,146.6,876.5,284.6,150.7,1011.7
Biratnagar,34,118.3,62.14,350.0,-0.4724,88.7974,22.8165,"Weibull (xi<0, bounded)",96.5,86.5,110.6,113.3,97.7,136.1,120.4,101.4,148.3,126.4,103.8,160.8,129.4,105.0,169.2,131.6,105.4,178.9,133.1,105.5,187.7
Dadeldhura,34,120.24,56.76,350.0,-0.2233,94.2596,30.2877,"Weibull (xi<0, bounded)",104.9,93.1,121.0,132.9,113.2,163.3,147.8,122.2,191.2,163.5,129.6,238.6,173.1,133.5,282.0,181.3,136.3,335.7,188.3,138.1,398.3
Dhankuta,34,97.21,32.72,215.2,-0.0174,82.6158,24.6819,Gumbel (xi≈0),91.6,81.4,102.7,119.2,102.1,141.7,137.1,113.2,188.7,159.4,123.8,278.0,175.7,131.2,359.4,191.7,137.0,487.0,207.5,141.5,651.9
Jumla,34,53.96,15.59,102.1,-0.1631,46.054,10.5175,"Weibull (xi<0, bounded)",49.8,43.7,56.5,60.0,48.7,74.6,65.9,50.6,88.3,72.3,51.7,109.2,76.4,52.2,126.2,80.1,52.5,145.2,83.4,52.6,170.2
Kathmandu,34,95.99,39.47,222.3,-0.1349,76.9461,26.2257,"Weibull (xi<0, bounded)",86.3,75.6,100.8,112.6,93.3,137.0,127.8,101.6,162.1,145.1,108.6,195.9,156.5,112.8,223.1,166.8,115.4,255.4,176.2,118.7,292.0
Okhaldhunga,34,122.18,51.82,327.5,-0.2726,96.0799,29.2468,"Weibull (xi<0, bounded)",106.3,90.3,128.8,132.1,104.6,178.7,145.3,110.0,221.0,158.5,113.8,292.2,166.3,116.1,352.6,172.8,117.2,422.8,178.0,118.2,502.5
Pokhara,34,324.11,151.45,600.0,-0.2438,241.5554,98.4653,"Weibull (xi<0, bounded)",276.1,223.4,365.4,365.3,270.0,571.6,412.1,287.4,626.3,460.3,302.3,782.5,489.5,307.1,897.2,513.9,310.1,1032.1,534.4,312.7,1140.8
Simara,34,113.21,39.72,267.4,-0.1217,94.552,26.2324,"Weibull (xi<0, bounded)",104.0,92.6,122.0,130.5,107.4,181.4,146.2,113.9,245.2,164.1,118.4,369.2,176.0,121.7,498.4,187.0,123.1,680.5,197.0,124.9,916.9
Surkhet,34,91.45,34.85,214.9,-0.3356,73.4325,18.2979,"Weibull (xi<0, bounded)",79.7,71.1,91.3,95.0,80.7,116.5,102.3,84.7,132.5,109.3,87.8,151.7,113.2,89.3,166.6,116.3,89.9,182.0,118.7,90.2,196.5
Taplejung,34,147.98,59.74,350.0,-0.1562,119.6211,37.6404,"Weibull (xi<0, bounded)",133.0,116.9,151.1,170.0,141.6,202.6,191.0,153.5,243.4,214.4,164.2,310.1,229.6,170.6,373.4,243.1,175.4,444.2,255.2,180.1,518.6
